customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroups,IsMonthly,IsSingle,TotalServices,AvgMonthlyCharge,ChargeDiff
CUST00052,Male,0,0,0,31.0,1,No,No,0,0,0,0,0,0,Monthly,1,Electronic check,31.16,965.96,No,2-4,1,0,0,31.16,0.0
CUST00053,Male,1,1,1,65.0,1,Yes,Fiber optic,1,0,1,1,0,0,One year,0,Electronic check,28.35,1842.75,No,4-6,0,1,3,28.35,0.0
CUST00055,Female,0,0,0,45.0,1,No,Fiber optic,0,0,0,0,0,0,Monthly,1,Electronic check,21.97,988.65,No,2-4,1,0,0,21.97,0.0
CUST00057,Male,0,0,0,10.0,1,No,Fiber optic,0,0,0,0,0,0,Two year,1,Mailed check,20.05,200.5,Yes,0-1,0,0,0,20.05,0.0
CUST00058,Male,0,1,0,19.0,1,Yes,Fiber optic,0,1,1,0,0,1,Monthly,0,Bank transfer (automatic),26.62,505.78,No,1-2,1,0,3,26.619999999999997,3.552713678800501e-15
CUST00059,Female,0,1,0,43.0,1,Yes,Fiber optic,0,1,0,0,0,0,Two year,1,Electronic check,32.0,1376.0,No,2-4,0,0,1,32.0,0.0
CUST00060,Female,0,1,1,42.0,1,Yes,Fiber optic,0,0,1,0,0,0,Monthly,1,Electronic check,42.09,1767.78,Yes,2-4,1,1,1,42.089999999999996,7.105427357601002e-15
CUST00061,Male,0,0,0,9.0,0,No phone service,Fiber optic,0,0,0,1,0,0,Two year,1,Credit card (automatic),98.68,888.12,No,0-1,0,0,1,98.68,0.0
CUST00063,Male,0,1,0,13.0,1,Yes,DSL,0,0,0,0,1,0,Two year,1,Bank transfer (automatic),100.45,1305.85,No,1-2,0,0,1,100.44999999999999,1.4210854715202004e-14
CUST00064,Male,0,0,0,32.0,1,Yes,DSL,1,0,1,0,0,0,Two year,1,Bank transfer (automatic),24.44,782.08,No,2-4,0,0,2,24.44,0.0
CUST00065,Male,0,1,0,17.0,0,No phone service,DSL,1,0,0,0,0,0,One year,1,Electronic check,80.1,1361.7,No,1-2,0,0,1,80.10000000000001,-1.4210854715202004e-14
CUST00066,Female,0,1,1,19.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Credit card (automatic),41.59,790.21,Yes,1-2,1,1,0,41.59,0.0
CUST00067,Female,0,1,0,38.0,1,Yes,DSL,0,1,0,0,0,0,Monthly,0,Credit card (automatic),43.94,1669.72,Yes,2-4,1,0,1,43.94,0.0
CUST00068,Male,1,0,1,10.0,1,No,Fiber optic,0,1,1,0,0,0,Monthly,1,Electronic check,47.55,475.5,Yes,0-1,1,0,2,47.55,0.0
CUST00069,Male,0,0,1,5.0,1,No,DSL,0,0,0,0,0,0,Monthly,0,Electronic check,79.33,396.65,No,0-1,1,0,0,79.33,0.0
CUST00070,Female,0,1,1,22.0,0,No phone service,Fiber optic,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),28.01,616.22,Yes,1-2,1,1,0,28.01,0.0
CUST00071,Male,0,0,0,23.0,1,No,Fiber optic,0,0,0,1,0,0,Two year,1,Electronic check,19.18,441.14,Yes,1-2,0,0,1,19.18,0.0
CUST00072,Male,0,0,0,26.0,1,No,No,0,0,0,0,0,0,Monthly,1,Mailed check,33.37,867.62,Yes,2-4,1,0,0,33.37,0.0
CUST00073,Female,0,1,0,71.0,1,Yes,DSL,0,0,0,0,0,1,Monthly,0,Electronic check,22.95,1629.45,Yes,4-6,1,0,1,22.95,0.0
CUST00074,Female,0,0,0,47.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,47.45,2230.15,Yes,2-4,1,0,0,47.45,0.0
CUST00076,Male,0,0,0,17.0,1,Yes,DSL,1,0,1,0,0,0,Monthly,0,Credit card (automatic),30.7,521.9,Yes,1-2,1,0,2,30.7,0.0
CUST00077,Female,0,0,0,36.0,1,Yes,DSL,0,0,0,1,0,0,One year,0,Mailed check,43.51,1566.36,No,2-4,0,0,1,43.51,0.0
CUST00078,Female,0,1,0,47.0,1,No,Fiber optic,0,0,0,0,0,0,Monthly,1,Electronic check,20.92,983.24,No,2-4,1,0,0,20.92,0.0
CUST00079,Female,0,0,0,11.0,1,No,Fiber optic,0,0,0,1,0,1,Monthly,0,Electronic check,81.44,895.84,Yes,0-1,1,0,2,81.44,0.0
CUST00080,Female,0,1,0,41.0,1,No,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),48.2,1976.2,No,2-4,0,0,0,48.2,0.0
CUST00081,Male,0,1,1,22.0,1,No,No,0,0,0,0,0,0,One year,1,Credit card (automatic),27.59,606.98,No,1-2,0,1,0,27.59,0.0
CUST00082,Female,0,0,0,14.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,0,Credit card (automatic),23.47,328.58,Yes,1-2,1,0,0,23.47,0.0
CUST00084,Female,0,0,0,24.0,1,Yes,Fiber optic,1,0,0,0,1,0,Monthly,1,Mailed check,38.22,917.28,Yes,1-2,1,0,2,38.22,0.0
CUST00085,Female,0,0,0,9.0,1,No,Fiber optic,0,0,0,0,0,1,Monthly,0,Mailed check,53.92,485.28,Yes,0-1,1,0,1,53.919999999999995,7.105427357601002e-15
CUST00086,Male,0,1,1,3.0,1,Yes,Fiber optic,0,1,0,0,0,0,Monthly,0,Bank transfer (automatic),37.81,113.43,Yes,0-1,1,1,1,37.81,0.0
CUST00087,Male,0,0,0,20.0,1,No,Fiber optic,0,0,0,0,0,0,Monthly,0,Credit card (automatic),93.54,1870.8,No,1-2,1,0,0,93.53999999999999,1.4210854715202004e-14
CUST00088,Male,0,1,0,11.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Electronic check,24.79,272.69,Yes,0-1,1,0,0,24.79,0.0
CUST00089,Female,1,0,0,14.0,1,No,No,0,0,0,0,0,0,Monthly,0,Electronic check,37.44,524.16,Yes,1-2,1,0,0,37.44,0.0
CUST00090,Male,1,0,0,23.0,1,Yes,DSL,1,0,0,0,0,0,One year,1,Mailed check,45.37,1043.51,No,1-2,0,0,1,45.37,0.0
CUST00092,Male,0,0,0,21.0,1,No,Fiber optic,0,0,1,0,0,0,One year,0,Electronic check,68.4,1436.4,No,1-2,0,0,1,68.4,0.0
CUST00093,Female,0,0,1,26.0,1,Yes,Fiber optic,0,0,0,0,0,0,One year,0,Mailed check,66.57,1730.82,Yes,2-4,0,0,0,66.57,0.0
CUST00094,Female,1,1,0,33.0,1,Yes,DSL,1,0,0,0,0,0,Monthly,0,Electronic check,99.06,3268.98,No,2-4,1,0,1,99.06,0.0
CUST00095,Female,0,0,0,4.0,1,No,DSL,0,1,1,0,0,1,Monthly,1,Bank transfer (automatic),32.73,130.92,Yes,0-1,1,0,3,32.73,0.0
CUST00096,Female,1,0,1,38.0,1,Yes,DSL,0,1,0,0,0,0,Two year,0,Credit card (automatic),90.74,3448.12,No,2-4,0,0,1,90.74,0.0
CUST00097,Female,0,0,1,10.0,1,No,No,0,0,0,0,0,0,Monthly,1,Electronic check,109.57,1095.7,Yes,0-1,1,0,0,109.57000000000001,-1.4210854715202004e-14
CUST00098,Female,0,0,0,2.0,1,No,DSL,0,0,0,1,0,0,Monthly,0,Electronic check,44.5,89.0,No,0-1,1,0,1,44.5,0.0
CUST00099,Male,0,1,0,41.0,1,Yes,Fiber optic,0,0,0,1,0,0,One year,1,Electronic check,20.27,831.07,Yes,2-4,0,0,1,20.27,0.0
CUST00100,Male,0,0,0,50.0,1,No,No,0,0,0,0,0,0,One year,0,Credit card (automatic),26.9,1345.0,No,4-6,0,0,0,26.9,0.0
CUST00101,Female,0,0,0,23.0,1,No,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.69,567.87,No,1-2,0,0,0,24.69,0.0
CUST00102,Female,0,0,0,15.0,1,Yes,Fiber optic,0,1,0,0,0,0,Monthly,0,Bank transfer (automatic),32.71,490.65,Yes,1-2,1,0,1,32.71,0.0
CUST00103,Female,0,0,0,6.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),22.5,135.0,No,0-1,1,0,0,22.5,0.0
CUST00104,Female,0,1,0,23.0,1,Yes,Fiber optic,0,0,0,0,0,0,Two year,1,Mailed check,39.09,899.07,No,1-2,0,0,0,39.09,0.0
CUST00105,Female,0,1,1,6.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,19.88,119.28,Yes,0-1,1,1,0,19.88,0.0
CUST00106,Female,0,0,1,23.0,1,No,DSL,0,0,0,0,0,0,Two year,0,Electronic check,46.34,1065.82,No,1-2,0,0,0,46.339999999999996,7.105427357601002e-15
CUST00107,Female,1,0,0,28.0,1,No,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),48.96,1370.88,Yes,2-4,0,0,0,48.96,0.0
CUST00108,Male,0,1,0,12.0,1,Yes,Fiber optic,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),35.53,426.36,Yes,0-1,0,0,0,35.53,0.0
CUST00109,Female,0,0,1,39.0,1,No,Fiber optic,0,1,0,0,0,0,Two year,1,Electronic check,42.81,1669.59,No,2-4,0,0,1,42.809999999999995,7.105427357601002e-15
CUST00110,Female,0,0,0,11.0,1,Yes,DSL,0,0,0,0,0,0,Two year,1,Electronic check,18.39,202.29,No,0-1,0,0,0,18.39,0.0
CUST00111,Male,0,0,0,31.0,0,No phone service,Fiber optic,1,0,1,0,0,0,Two year,1,Electronic check,34.95,1083.45,No,2-4,0,0,2,34.95,0.0
CUST00112,Male,0,1,0,42.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Credit card (automatic),27.34,1148.28,No,2-4,1,0,0,27.34,0.0
CUST00113,Male,0,1,0,32.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,0,Credit card (automatic),51.7,1654.4,Yes,2-4,1,0,0,51.7,0.0
CUST00114,Female,0,1,1,21.0,0,No phone service,Fiber optic,0,0,0,0,0,0,Two year,0,Electronic check,25.91,544.11,No,1-2,0,1,0,25.91,0.0
CUST00115,Male,0,1,0,32.0,0,No phone service,Fiber optic,0,0,1,0,0,1,Monthly,0,Bank transfer (automatic),33.35,1067.2,No,2-4,1,0,2,33.35,0.0
CUST00116,Female,0,1,0,47.0,1,Yes,Fiber optic,0,0,0,0,0,0,Two year,1,Electronic check,107.81,5067.07,No,2-4,0,0,0,107.80999999999999,1.4210854715202004e-14
CUST00117,Female,0,1,0,11.0,1,No,Fiber optic,0,1,0,0,0,0,One year,0,Mailed check,37.47,412.17,Yes,0-1,0,0,1,37.47,0.0
CUST00118,Male,0,0,1,29.0,0,No phone service,Fiber optic,0,0,0,0,1,0,Two year,1,Electronic check,41.41,1200.89,No,2-4,0,0,1,41.410000000000004,-7.105427357601002e-15
CUST00120,Female,1,0,1,24.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,0,Mailed check,55.0,1320.0,Yes,1-2,1,0,0,55.0,0.0
CUST00121,Female,0,0,0,25.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,47.76,1194.0,Yes,2-4,1,0,0,47.76,0.0
CUST00122,Female,1,1,0,22.0,1,No,DSL,0,0,1,0,0,0,Monthly,1,Bank transfer (automatic),18.45,405.9,Yes,1-2,1,0,1,18.45,0.0
CUST00123,Male,0,0,1,8.0,1,Yes,Fiber optic,0,1,0,1,0,0,Monthly,1,Credit card (automatic),18.68,149.44,No,0-1,1,0,2,18.68,0.0
CUST00124,Male,0,1,0,30.0,1,No,DSL,0,0,0,0,1,1,One year,0,Electronic check,45.2,1356.0,No,2-4,0,0,2,45.2,0.0
CUST00125,Female,0,1,0,48.0,1,Yes,DSL,0,0,0,1,0,1,Monthly,0,Electronic check,42.55,2042.4,No,2-4,1,0,2,42.550000000000004,-7.105427357601002e-15
CUST00126,Female,0,1,1,12.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),86.05,1032.6,Yes,0-1,1,1,0,86.05,0.0
CUST00127,Male,0,0,0,10.0,1,No,Fiber optic,0,0,0,0,0,0,Monthly,1,Electronic check,46.27,462.7,Yes,0-1,1,0,0,46.269999999999996,7.105427357601002e-15
CUST00128,Male,0,0,0,31.0,1,No,Fiber optic,0,0,0,0,0,0,Monthly,0,Electronic check,38.43,1191.33,Yes,2-4,1,0,0,38.43,0.0
CUST00130,Male,0,0,0,34.0,1,Yes,DSL,0,0,0,1,0,0,Monthly,1,Credit card (automatic),35.13,1194.42,Yes,2-4,1,0,1,35.13,0.0
CUST00131,Female,1,1,1,3.0,1,No,Fiber optic,0,0,0,0,0,0,Two year,1,Mailed check,88.78,266.34,No,0-1,0,1,0,88.77999999999999,1.4210854715202004e-14
CUST00132,Female,0,1,1,46.0,1,No,Fiber optic,1,0,0,0,0,0,Two year,1,Electronic check,45.97,2114.62,No,2-4,0,1,1,45.97,0.0
CUST00133,Male,0,1,1,12.0,1,No,DSL,0,0,0,0,0,0,One year,1,Bank transfer (automatic),36.15,433.8,No,0-1,0,1,0,36.15,0.0
CUST00135,Female,1,1,0,6.0,1,No,Fiber optic,0,0,1,0,0,1,Monthly,0,Mailed check,63.73,382.38,Yes,0-1,1,0,2,63.73,0.0
CUST00136,Male,0,0,0,3.0,1,No,Fiber optic,0,0,0,0,0,0,Two year,1,Mailed check,70.86,212.58,No,0-1,0,0,0,70.86,0.0
CUST00137,Male,0,0,0,8.0,1,Yes,Fiber optic,0,1,0,0,0,1,Monthly,1,Bank transfer (automatic),69.08,552.64,Yes,0-1,1,0,2,69.08,0.0
CUST00138,Male,0,0,0,32.0,1,Yes,Fiber optic,1,0,0,0,0,0,Monthly,1,Bank transfer (automatic),56.57,64.03,No,2-4,1,0,1,2.0009375,54.5690625
CUST00139,Male,0,1,1,18.0,1,No,Fiber optic,0,0,0,0,0,0,Two year,1,Mailed check,59.23,1066.14,No,1-2,0,1,0,59.230000000000004,-7.105427357601002e-15
CUST00140,Male,0,1,0,16.0,1,Yes,Fiber optic,0,1,0,0,0,0,Monthly,1,Electronic check,25.95,415.2,No,1-2,1,0,1,25.95,0.0
CUST00141,Female,0,0,1,17.0,1,Yes,Fiber optic,0,0,1,0,0,0,Monthly,1,Electronic check,101.02,1717.34,No,1-2,1,0,1,101.02,0.0
CUST00142,Male,1,0,0,46.0,1,No,Fiber optic,0,1,0,1,0,0,One year,1,Electronic check,34.82,1601.72,No,2-4,0,0,2,34.82,0.0
CUST00143,Female,0,1,0,28.0,1,No,Fiber optic,1,1,0,0,0,0,Two year,1,Bank transfer (automatic),89.18,2497.04,No,2-4,0,0,2,89.17999999999999,1.4210854715202004e-14
CUST00144,Male,1,0,0,29.0,1,Yes,No,0,0,0,0,0,0,Monthly,0,Bank transfer (automatic),35.41,1026.89,Yes,2-4,1,0,0,35.410000000000004,-7.105427357601002e-15
CUST00145,Male,0,1,1,11.0,1,No,Fiber optic,0,0,1,0,0,0,Two year,1,Mailed check,28.72,315.92,No,0-1,0,1,1,28.720000000000002,-3.552713678800501e-15
CUST00147,Female,0,1,0,47.0,0,No phone service,Fiber optic,0,0,0,0,0,0,Monthly,1,Mailed check,102.8,4831.6,Yes,2-4,1,0,0,102.80000000000001,-1.4210854715202004e-14
CUST00148,Male,0,0,1,27.0,1,Yes,Fiber optic,1,0,0,0,0,0,One year,0,Electronic check,32.05,865.35,No,2-4,0,0,1,32.050000000000004,-7.105427357601002e-15
CUST00149,Male,0,1,0,65.0,0,No phone service,Fiber optic,0,0,0,0,0,0,Monthly,0,Electronic check,46.8,3042.0,Yes,4-6,1,0,0,46.8,0.0
CUST00150,Male,0,0,0,3.0,1,Yes,Fiber optic,0,0,0,1,0,0,Monthly,0,Mailed check,73.78,221.34,Yes,0-1,1,0,1,73.78,0.0
CUST00151,Female,0,0,0,6.0,1,No,DSL,0,1,0,0,0,0,One year,1,Mailed check,19.23,115.38,No,0-1,0,0,1,19.23,0.0
CUST00152,Female,0,0,0,23.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,21.72,499.56,No,1-2,1,0,0,21.72,0.0
CUST00153,Male,0,0,1,25.0,1,Yes,Fiber optic,0,0,0,0,0,0,One year,0,Electronic check,43.03,1075.75,No,2-4,0,0,0,43.03,0.0
CUST00154,Female,0,1,1,40.0,1,Yes,DSL,0,1,0,0,0,0,Two year,1,Mailed check,39.14,1565.6,No,2-4,0,1,1,39.14,0.0
CUST00155,Male,1,0,0,29.0,1,Yes,Fiber optic,0,0,0,0,1,0,Monthly,1,Bank transfer (automatic),96.78,2806.62,Yes,2-4,1,0,1,96.78,0.0
CUST00156,Female,0,0,0,52.0,1,Yes,Fiber optic,0,0,0,1,0,0,Two year,1,Credit card (automatic),98.75,5135.0,No,4-6,0,0,1,98.75,0.0
CUST00157,Female,0,0,0,45.0,1,No,Fiber optic,0,0,0,0,0,0,One year,1,Bank transfer (automatic),43.34,1950.3,No,2-4,0,0,0,43.339999999999996,7.105427357601002e-15
CUST00158,Male,0,1,1,20.0,0,No phone service,DSL,0,1,0,0,0,0,One year,1,Electronic check,113.2,2264.0,No,1-2,0,1,1,113.2,0.0
CUST00159,Male,0,1,0,19.0,1,Yes,DSL,0,0,0,0,0,0,Monthly,1,Mailed check,40.02,760.38,Yes,1-2,1,0,0,40.02,0.0
CUST00160,Male,0,0,1,10.0,1,No,Fiber optic,0,1,1,0,0,0,Monthly,1,Electronic check,29.91,299.1,No,0-1,1,0,2,29.910000000000004,-3.552713678800501e-15
CUST00161,Male,0,1,1,2.0,1,No,DSL,0,0,0,1,0,1,One year,1,Credit card (automatic),27.46,54.92,No,0-1,0,1,2,27.46,0.0
CUST00162,Male,0,1,0,13.0,1,Yes,Fiber optic,1,1,0,1,0,0,One year,1,Bank transfer (automatic),40.67,528.71,No,1-2,0,0,3,40.67,0.0
CUST00163,Male,1,0,1,14.0,1,No,DSL,0,0,1,0,1,0,Monthly,1,Credit card (automatic),40.02,560.28,Yes,1-2,1,0,2,40.019999999999996,7.105427357601002e-15
CUST00164,Female,0,0,1,23.0,1,No,No,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),30.67,705.41,Yes,1-2,1,0,0,30.669999999999998,3.552713678800501e-15
CUST00165,Male,0,1,0,5.0,1,Yes,Fiber optic,0,0,0,0,0,0,Two year,1,Electronic check,79.53,397.65,No,0-1,0,0,0,79.53,0.0
CUST00166,Female,0,0,0,15.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,21.81,327.15,Yes,1-2,1,0,0,21.81,0.0
CUST00167,Female,1,1,1,2.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,21.45,42.9,Yes,0-1,1,1,0,21.45,0.0
CUST00168,Male,0,0,0,29.0,1,No,Fiber optic,0,1,0,0,0,1,Monthly,0,Mailed check,23.71,687.59,Yes,2-4,1,0,2,23.71,0.0
CUST00169,Female,0,1,1,1.0,1,No,Fiber optic,0,0,0,1,1,1,Monthly,0,Bank transfer (automatic),68.98,68.98,No,0-1,1,1,3,68.98,0.0
CUST00170,Male,0,1,1,4.0,1,No,Fiber optic,0,0,0,0,0,0,One year,1,Bank transfer (automatic),23.09,92.36,Yes,0-1,0,1,0,23.09,0.0
